ms,x,y
18718,697,1637,137
18728,600,1691,125
18738,878,1731,115
18748,485,1762,107
18759,277,1791,102
18768,849,1814,97
18778,530,1834,94
18788,806,1853,91
18799,380,1866,88
18808,728,1880,87
18818,906,1890,84
18828,908,1899,84
18839,192,1904,83
18848,853,1909,82
18859,544,1912,82
18869,083,1915,81
18879,144,1917,81
18888,618,1918,81
18899,032,1919,81
18938,978,1919,82
18988,943,1919,83
18999,132,1918,83
19010,422,1916,84
19028,839,1915,84
19039,184,1913,85
19048,871,1912,85
19059,235,1910,86
19068,827,1907,87
19079,630,1905,88
19088,948,1901,89
19098,887,1896,89
19109,196,1889,90
19118,869,1880,91
19128,967,1871,94
19138,747,1861,95
19148,961,1854,96
19159,188,1845,99
19169,037,1838,100
19179,913,1833,102
19188,784,1827,104
19198,935,1823,106
19210,517,1818,110
19219,529,1814,113
19229,106,1811,116
19239,521,1808,119
19248,835,1806,121
19259,482,1804,123
19269,163,1802,125
19279,111,1800,126
19289,248,1799,127
19299,147,1799,128
19348,833,1800,128
19359,572,1801,128
19378,931,1801,127
19388,934,1802,127
19399,704,1803,127
19409,933,1803,126
19600,955,1803,125
19630,281,1802,125
19659,512,1800,125
19669,087,1798,126
19679,376,1793,127
19689,396,1781,131
19698,983,1744,141
19709,301,1678,176
19719,642,1596,236
19729,197,1504,314
19739,471,1412,396
19748,965,1319,477
19759,700,1224,550
19769,107,1133,610
19779,068,1046,659
19789,033,963,699
19799,215,881,731
19809,212,803,760
19819,870,728,783
19829,186,657,803
19839,187,587,821
19849,297,523,836
19859,244,466,850
19869,170,416,861
19879,664,366,870
19889,091,316,879
19899,177,263,889
19909,518,214,895
19919,395,168,904
19929,251,125,910
19939,426,89,916
19949,134,56,922
19959,520,27,928
19969,275,4,931
19979,130,0,936
19989,355,0,938
19999,357,0,943
20009,453,0,945
20019,246,0,948
20029,380,0,950
20039,837,0,952
20049,147,0,954
20059,180,0,955
20069,070,0,956
20079,222,0,957
20089,144,0,958
20100,923,0,959
20119,289,0,960
20199,367,1,960
20209,139,2,960
20219,111,3,960
20229,162,5,960
20240,627,7,960
20249,215,10,961
20259,379,14,961
20269,595,19,962
20279,403,25,963
20289,877,32,964
20299,410,40,965
20309,234,49,966
20320,321,57,968
20329,484,64,969
20339,206,73,971
20349,220,82,974
20359,533,89,976
20369,461,99,979
20379,147,107,981
20389,118,115,984
20399,538,124,985
20409,177,131,987
20419,169,136,987
20429,409,143,989
20439,511,147,990
20449,379,151,990
20459,355,154,990
20469,223,156,990
20479,680,159,989
20489,393,160,988
20499,374,161,987
20509,450,162,987
20519,709,162,985
20529,459,163,984
20539,305,163,983
20549,575,163,981
20559,586,163,980
20569,805,162,979
20579,478,162,978
20589,202,162,977
20600,851,161,977
20609,286,160,976
20619,415,159,975
20639,591,157,975
20649,613,156,975
20669,323,154,975
20679,684,153,975
20689,456,152,975
20699,542,149,975
20710,920,148,975
20719,883,146,975
20729,461,145,975
20739,728,142,976
20749,540,140,976
20759,752,139,976
20769,917,137,976
20779,547,136,976
20800,103,135,976
20859,721,137,974
20869,464,139,973
20879,978,142,971
20889,556,147,968
20899,503,154,963
20909,500,168,956
20919,611,189,947
20929,508,220,935
20939,647,256,920
20949,579,288,906
20960,271,314,893
20969,650,340,878
20979,650,364,861
20990,204,389,843
20999,818,414,821
21009,726,445,799
21019,878,477,768
21029,755,512,740
21039,857,553,713
21049,882,594,683
21059,740,634,661
21069,735,670,639
21080,225,702,625
