ms,x,y
24666,288,697,311
24676,204,707,311
24686,579,715,311
24696,194,724,311
24706,141,731,310
24716,001,739,309
24725,885,747,308
24736,368,754,307
24746,377,759,306
24757,021,763,304
24766,319,767,302
24776,027,771,300
24786,442,775,298
24796,320,777,296
24805,827,780,294
24816,231,782,291
24826,484,784,289
24836,046,786,287
24846,145,786,284
24856,164,787,281
24866,273,788,279
24876,251,789,277
24886,234,789,274
24897,032,790,272
24906,162,790,271
24916,189,791,268
24926,441,791,266
24936,315,792,266
24946,387,792,264
24956,500,792,262
24966,920,793,262
24976,124,793,261
24987,406,794,260
24996,364,794,259
25005,971,795,259
25016,300,795,258
25026,434,795,257
25046,609,796,257
25056,113,796,256
25066,808,797,256
25086,325,797,255
25106,601,797,254
25166,507,798,254
25226,758,799,254
25246,473,799,255
25348,173,799,256
25476,228,799,257
25486,924,798,257
25496,432,798,258
25516,886,798,259
25526,320,798,261
25536,468,798,263
25547,040,798,267
25556,252,798,272
25566,126,796,279
25576,639,796,288
25586,609,796,298
25596,431,796,306
25606,525,795,316
25616,529,795,323
25627,816,795,330
25636,565,795,335
25646,372,794,340
25656,335,794,344
25666,808,794,347
25676,411,794,349
25686,526,793,351
25696,371,793,353
25706,516,793,354
25716,529,793,356
25727,185,793,357
25737,807,793,358
25747,011,792,359
25756,443,792,360
25767,923,792,361
25776,771,792,362
25786,608,792,363
25806,339,792,364
25816,504,792,365
25846,558,792,366
25856,578,791,366
25866,673,791,367
25876,290,790,367
25906,943,789,368
25916,769,787,368
25936,470,785,369
25946,715,782,369
25956,675,779,370
25966,532,775,370
25976,575,771,370
25986,814,765,371
25996,703,760,371
26006,441,751,371
26016,970,744,371
26026,743,736,371
26036,680,727,371
26047,135,721,371
26056,568,714,370
26066,899,708,367
26076,941,702,366
26086,510,698,363
26096,331,694,360
26107,045,689,354
26116,351,685,345
26126,551,683,334
26137,470,679,322
26146,868,676,310
26156,484,673,298
26167,267,671,287
26176,625,668,276
26186,675,667,268
26196,737,664,260
26206,775,662,253
26216,646,661,248
